관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
3980000-101-2024-00183,이디야커피 돌다리사거리점,212392.841905689,455353.550867016,영업/정상,2024-10-31,
4030000-101-2008-00032,메가엠지씨커피 의왕시티병원점,197776.552271421,427581.484723422,영업/정상,2008-04-28,
5640000-101-2018-00021,감성커피 광교상현역점,206019.307139422,421667.024411155,폐업,2018-02-09,2021-08-19
5630000-101-2022-00203,감성커피용인서천마을점,206436.912309592,414912.874566116,폐업,2022-09-02,2024-07-01
5640000-101-2014-00072,이디야수지동천점,208805.061878688,426572.968660091,폐업,2014-04-25,2023-12-01
5620000-101-2022-00131,감성커피 용인외대점,222427.81744389,425990.842463956,영업/정상,2022-05-19,
5630000-101-2020-00407,컴포즈 용인 백현마을점,214196.065010417,419964.911668814,영업/정상,2020-12-09,
5630000-101-2014-00256,빽다방용인기흥구청점,209907.270473354,419914.346061897,영업/정상,2014-08-25,
5640000-101-2011-00199,메가엠지씨커피 수지중앙어린이공원점,208487.077243308,424863.760743244,영업/정상,2011-09-09,
5630000-101-2010-00138,메가엠지씨커피 용인흥덕점,206306.301931615,419313.955217649,영업/정상,2010-05-17,
5620000-101-2011-00005,용인처인중앙점 빽다방,218242.770239405,414810.005391418,영업/정상,2011-01-06,
5640000-101-2017-00072,메가 엠지씨커피 수지상현점,207452.615496064,422657.498836803,영업/정상,2017-04-28,
5640000-101-2012-00189,이디야(수지구청점),208549.015108871,424642.774964168,영업/정상,2012-08-22,
5640000-101-2022-00148,메가엠지씨커피 수지아이조움점,207166.174549831,423226.500114633,영업/정상,2022-08-23,
5630000-101-2022-00193,더벤티 강남대점,211262.93290433,418835.013735668,영업/정상,2022-08-19,
5630000-101-2018-00223,컴포즈커피 경희대국제캠퍼스기숙사점,206935.241061933,415922.06377065,영업/정상,2018-10-10,
5630000-101-2022-00242,메가엠지씨커피 보라해링턴점,210112.929454697,417062.580246139,영업/정상,2022-10-21,
5630000-101-2020-00350,더벤티 기흥구청점,209995.682493683,419780.396053803,영업/정상,2020-10-21,
5620000-101-2021-00200,빽다방(용인한숲시티점),215136.94718991,405691.150197817,영업/정상,2021-06-21,
5630000-101-2021-00133,빽다방 빵연구소 용인보라점,209706.037963395,416967.412533059,영업/정상,2021-04-28,
5630000-101-2022-00262,메가엠지씨커피 용인보라나곡점,210550.596651043,416976.13709906,영업/정상,2022-11-11,
5630000-101-2021-00289,매머드익스프레스 기흥힉스유타워점,207954.10748572,418552.765838324,영업/정상,2021-09-30,
5640000-101-2020-00023,메가엠지씨커피 용인신봉마을점,206789.916402348,424693.982436805,영업/정상,2020-02-12,
5620000-101-2022-00051,컴포즈커피 용인송전점,217476.571207473,404308.003780204,영업/정상,2022-02-25,
5620000-101-1998-00186,메가엠지씨커피용인에버랜드역점,219187.579484532,420568.726148195,영업/정상,1998-05-07,
5630000-101-2019-00009,메가엠지씨커피기흥역점,210353.782614485,419192.22676332,영업/정상,2019-01-10,
5620000-101-2019-00049,용인역북남부점 빽다방,216554.523211312,414460.847628846,영업/정상,2019-02-08,
5620000-101-2015-00105,빽다방용인둔전점,219333.621911918,418668.376450542,영업/정상,2015-06-01,
5630000-101-2009-00237,빽다방용인죽전누리점,209753.306645746,424231.599979607,영업/정상,2009-08-21,
5530000-101-2020-01454,감성커피 신영통점,205426.413013658,414794.002351414,폐업,2020-12-29,2024-11-13
5530000-101-2007-00375,더벤티 화성병점점,203811.08404256,412529.901991526,폐업,2007-08-10,2023-03-09
5530000-101-2019-00363,메가커피 동탄K밸리점,208041.340974741,412060.110598187,폐업,2019-04-12,2022-06-20
5530000-101-2019-00515,감성커피 동탄호수공원점,209459.84087887,407815.73195357,폐업,2019-05-14,2021-08-10
5530000-101-2022-00780,만랩커피 동탄역점,208624.936086903,411151.948385108,폐업,2022-07-11,2025-01-14
5530000-101-2022-00667,빽다방 동탄역시범단지점,209046.857301098,411147.788293369,영업/정상,2022-06-15,
5530000-101-2013-00507,이디야커피화성진안점,203637.353949518,412408.973320064,영업/정상,2013-09-16,
5530000-101-2007-00132,메가엠지씨커피(화성남양점),183823.004904979,411978.642972185,영업/정상,2007-04-06,
5530000-101-2006-00420,메가엠지씨커피 화성화산점,201174.665368909,411647.282676079,영업/정상,2006-11-13,
5530000-101-2012-00280,커피에반하다병점점,203802.52657401,412473.005772346,영업/정상,2012-05-16,
5530000-101-2018-01057,빽다방 화성삼성점,205403.147960558,413517.526950589,영업/정상,2018-10-24,
5530000-101-2022-01117,메가엠지씨커피 화성시청역 센트럴파크점,183905.923477551,410184.960118741,영업/정상,2022-10-06,
5530000-101-2022-01036,컴포즈커피 동탄라크몽점,209267.831935403,407233.52541514,영업/정상,2022-09-16,
5530000-101-2022-01080,메가엠지씨커피 동탄영천중앙점,209040.741882331,411970.326950963,영업/정상,2022-09-28,
5530000-101-2021-00779,빽다방 힐스테이트동탄역점,208143.876837055,412316.025405739,영업/정상,2021-07-01,
5530000-101-2022-01300,빽다방 화성남양시장점,183811.840744585,411930.498396471,영업/정상,2022-11-17,
5530000-101-2024-00838,메가엠지씨커피 삼성전자DSR타워점,205820.890952409,413028.454932076,영업/정상,2024-07-12,
5530000-101-2022-00387,매머드익스프레스 동탄펜테리움IT타워점,208118.799423303,412052.825796122,영업/정상,2022-04-07,
5530000-101-2015-00452,빽다방 동탄석우점,206842.660246131,412926.040205084,영업/정상,2015-07-16,
5530000-101-2010-00734,이디야커피화성우정화산점,182911.970430854,396371.014112318,영업/정상,2010-11-18,
5530000-101-2014-00558,빽다방 동탄남광장점,206425.845143288,411085.292886874,영업/정상,2014-09-12,
5530000-101-1995-00048,이디야커피,198105.011886889,412475.138732368,영업/정상,1995-03-31,
4070000-101-2022-00056,감성커피 이천청강대점,231878.222125758,412115.069472515,영업/정상,2022-03-25,
4070000-101-2015-00046,이디야커피 이천돌솥밥점,235484.912781337,423338.310334332,영업/정상,2015-03-24,
5600000-101-2022-00125,메가엠지씨커피 포천선단점,214535.4536847,483473.786411548,영업/정상,2022-08-23,
5600000-101-2020-00028,감성커피운천점,223850.889589108,509854.349096821,영업/정상,2020-03-02,
5600000-101-2011-00193,컴포즈커피 송우사거리점,212655.091335009,480513.513671117,영업/정상,2011-12-26,
5600000-101-2012-00009,컴포즈커피 포천가산점,216399.443170036,482739.88816105,영업/정상,2012-02-02,
5600000-101-1993-00179,이디야,212698.110231273,480591.614288854,영업/정상,1993-04-01,
3790000-101-2020-00106,감성커피 위례레트로점,212560.960312092,441023.737503288,폐업,2020-07-08,2024-07-29
3790000-101-2014-00091,빽다방,214466.435165364,439632.776856234,폐업,2014-06-23,2016-06-09
3800000-101-2024-00149,메가엠지씨커피 성남은행주공점,214644.84191874,439766.732431813,영업/정상,2024-11-26,
3810000-101-2021-00049,메가엠지씨커피 판교하이펙스점,209708.702475852,433335.53510955,영업/정상,2021-02-05,
3810000-101-2022-00301,이디야커피 궁내크리스탈DI점,208895.879390629,429034.154508781,영업/정상,2022-08-24,
3800000-101-2022-00113,메가엠지씨커피 성남제일초교점,213053.607011833,437122.802629155,영업/정상,2022-09-13,
3810000-101-2022-00364,메가엠지씨커피 분당목련마을점,212813.594288291,433930.291511395,영업/정상,2022-10-06,
3810000-101-2022-00325,메가엠지씨커피 분당시범단지점,211634.947468641,430700.43371996,영업/정상,2022-09-06,
3810000-101-2022-00326,메가엠지씨커피 분당테크노파크점,213284.742417906,433565.737288175,영업/정상,2022-09-07,
3800000-101-2022-00126,메가엠지씨커피 성남하대원점,213107.461730574,436397.425446359,영업/정상,2022-10-04,
3800000-101-2022-00132,메가엠지씨커피 성남중원구청점,212013.603570431,436447.78514987,영업/정상,2022-10-13,
3810000-101-2014-00201,컴포즈커피 분당서현파크플라자점,211043.779309531,431230.68949626,영업/정상,2014-06-09,
3800000-101-1999-00124,메가MGC커피 성남중원점,214723.670830961,437853.959434075,영업/정상,1999-04-12,
3810000-101-2002-00072,메가엠지씨커피 분당느티마을점,209900.26,429674.484999999,영업/정상,2002-03-20,
3810000-101-2014-00034,빽다방정자카페점,209363.231473471,429838.309128475,영업/정상,2014-02-06,
