관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3110000-104-2024-00155,이디야 백련산아이파크점,192465.363063754,454894.818175461,폐업,2024-10-18,2024-10-19,250.0184815515235
3230000-104-2024-00395,(주)매머드커피랩,210199.45921923,446539.279382444,폐업,2024-10-24,2024-11-03,478.411459549869
3240000-104-2024-00224,매머드 익스프레스 암사점,211252.499429603,449861.448298428,폐업,2024-11-13,2024-12-06,106.04224950939441
3090000-104-2020-00067,이디야 창동블루핀점,204308.803324021,462013.490422468,폐업,2020-08-03,2024-09-03,829.9036782219677
3230000-104-2016-00009,커반(커피에반하다),206932.357872339,445301.060651942,폐업,2016-01-06,2019-02-27,244.58060354365057
3120000-104-2012-00123,이디야 가재울점,192139.514479125,452473.848199077,폐업,2012-10-09,2024-05-08,708.5657086897504
3030000-104-2015-00038,이디야커피 뚝섬역점,204242.211382768,449457.3213247,폐업,2015-04-21,2024-07-25,123.69795884362316
3020000-104-2006-00003,이디야,196920.745916732,449209.513689564,폐업,2006-03-02,2020-11-12,530.7251869813132
3020000-104-2017-00016,만랩커피나미브(10000LAB X NAMIB),198746.734021309,448690.838923479,폐업,2017-02-01,2021-06-22,641.4611702213912
3120000-104-2008-00066,카페이디야,193224.910587162,453018.478353222,폐업,2008-08-07,2017-10-31,1360.057599949926
3140000-104-2016-00091,커피에반하다양천신월점,185511.223568273,446283.271989441,폐업,2016-05-10,2025-01-31,1420.2655512111635
3120000-104-1999-03889,이디야,195124.438236336,450532.009946368,폐업,1999-06-29,2021-05-21,43.15373862636277
3140000-104-2011-00166,이디야신정교점,188775.802463919,446300.797031525,폐업,2011-11-10,2024-03-04,640.2479628576432
3030000-104-2011-00027,이디야행당점,202909.320149389,450643.152428876,폐업,2011-05-09,2023-08-31,375.4857684442717
3010000-104-2009-00024,이디야커피 IBK점,198743.086421493,451579.913748821,폐업,2009-02-26,2020-07-22,356.9548258702885
